Ticker,Name,Sector,Industry,Price,Collection,Ratios Code
CVX,Chevron Corporation,Basic Materials,Major Integrated Oil & Gas,WIKI/CVX,stocks/cvx,DMDRN/CVX_ALLFINANCIALRATIOS
D,"Dominion Resources, Inc.",Utilities,Electric Utilities,WIKI/D,stocks/d,DMDRN/D_ALLFINANCIALRATIOS
DAL,Delta Air Lines Inc.,Services,Major Airlines,WIKI/DAL,stocks/dal,DMDRN/DAL_ALLFINANCIALRATIOS
DD,E. I. du Pont de Nemours and Company,Basic Materials,Agricultural Chemicals,WIKI/DD,stocks/dd,DMDRN/DD_ALLFINANCIALRATIOS
DE,Deere & Company,Industrial Goods,Farm & Construction Machinery,WIKI/DE,stocks/de,DMDRN/DE_ALLFINANCIALRATIOS
DFS,Discover Financial Services,Financial,Credit Services,WIKI/DFS,stocks/dfs,DMDRN/DFS_ALLFINANCIALRATIOS
DG,Dollar General Corporation,Services,"Discount, Variety Stores",WIKI/DG,stocks/dg,DMDRN/DG_ALLFINANCIALRATIOS
DGX,Quest Diagnostics Inc.,Healthcare,Medical Laboratories & Research,WIKI/DGX,stocks/dgx,DMDRN/DGX_ALLFINANCIALRATIOS
DHI,DR Horton Inc.,Industrial Goods,Residential Construction,WIKI/DHI,stocks/dhi,DMDRN/DHI_ALLFINANCIALRATIOS
DHR,Danaher Corp.,Industrial Goods,Diversified Machinery,WIKI/DHR,stocks/dhr,DMDRN/DHR_ALLFINANCIALRATIOS
DIS,The Walt Disney Company,Services,Entertainment - Diversified,WIKI/DIS,stocks/dis,DMDRN/DIS_ALLFINANCIALRATIOS
DISCA,"Discovery Communications, Inc.",Services,CATV Systems,WIKI/DISCA,stocks/disca,DMDRN/DISCA_ALLFINANCIALRATIOS
DLPH,Delphi Automotive PLC,Consumer Goods,Auto Parts,WIKI/DLPH,stocks/dlph,DMDRN/DLPH_ALLFINANCIALRATIOS
DLTR,"Dollar Tree, Inc.",Services,"Discount, Variety Stores",WIKI/DLTR,stocks/dltr,DMDRN/DLTR_ALLFINANCIALRATIOS
DNB,Dun & Bradstreet Corp.,Technology,Information & Delivery Services,WIKI/DNB,stocks/dnb,DMDRN/DNB_ALLFINANCIALRATIOS
DNR,Denbury Resources Inc.,Basic Materials,Independent Oil & Gas,WIKI/DNR,stocks/dnr,DMDRN/DNR_ALLFINANCIALRATIOS
DO,"Diamond Offshore Drilling, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,WIKI/DO,stocks/do,DMDRN/DO_ALLFINANCIALRATIOS
DOV,Dover Corporation,Industrial Goods,Diversified Machinery,WIKI/DOV,stocks/dov,DMDRN/DOV_ALLFINANCIALRATIOS
